Key,Tags
1.1.20,"Drahtwiderstand, Anwendung Drahtwiderstand, Widerstand"
1.1.21,"Drahtwiderstand, Widerstandswert Drahtwiderstand, Widerstand, Widerstanddraht, Werkstoff"
1.1.22,"Anwendungen von Kohleschichtwiderständen, Widerstand, Vorteile Kohleschichtwiderstand, Nachteile Kohleschichtwiderstand, Verwendung Kohleschichtwiderstand"
1.1.23,"Metallschichtwiderstände, Widerstand, Vorteile Metallschichtwiderstände, Nachteile Metallschichtwiderstände, Verwendung Metallschichtwiderstände"
1.1.24,"NTC, PTC, Widerstand, temperaturabhängiger Widerstand, veränderlicher Widerstand, Parameterabhängige Widerstände, mechanisches Stellglied, Poti, Potentiometer, verstellbare Widerstände"
1.1.25,"Temperaturabhängige Widerstände, Spannungsabhängige Widerstände, Magnetfeldabhängige Widerstände, Lichtabhängige Widerstände, Druckabhängige Widerstände, Widerstandsarten, Arten Widerstände"
1.1.26,"PTC, Temperaturfühler, temperaturabhängig, Widerstand, Kaltleiter"
1.1.27,"Heißleiter, NTC, temperaturabhängig, Widerstand, Temperaturfühler"
1.1.28,"VDR, spannungsabhängiger Widerstand, Spannungsbegrenzung, Funkenlöschung"
1.1.29,"MDR, magnetabhängiger Widerstand, Magnetfeld, Widerstand, Kontaktloser Schalter"
1.1.30,"LDR, lichtabhängiger Widerstand, Lichtschranken, Dämmerungsschalter, Widerstand"
1.1.31,"Druckabhängiger Widerstand, Druckwächter, Widerstand, großer Druck"
1.1.32,"Stromkreis, elektrischer Stromkreis, graphische Darstellung, Strom, Verhalten Bauteile, Spannungsquelle, Verbraucher, elektrischen Leiter, Leiter, leitende Verbindung"
1.1.33,"Voraussetzung Stromkreis, Strom fließt, Strom, elektrischer Strom, Stromkreis, Bedingungen Stromkreis, Stromkreisbedingungen"
1.1.34,"Schalter, Aufgabe Schalter, Fluss unterbrechen, unterbrechen Stromkreis unterbrechen, unendlicher Widerstand, kein Strom fließt, öffnen, schließen"
1.1.35,"Wirkung Strom, thermische, magnetische, chemische, optische, Strom, elektrischer Strom"
1.1.36,"Wärmewirkung, Strom, elektrischer Strom, Schmelzsicherung, heizen, Anwendungen Wärmewirkung, Kochplatte"
1.1.37,"Strom, elektrischer Strom, Nebenwirkung Strom, Wärme entsteht, Wärmeerzeugung, immer Wärmewirkung"
1.1.38,"Strom, elektrischer Strom, Wirkung Strom, thermische, magnetische, chemische, optische, Lichtwirkung, Strom, elektrischer Strom, Nebeneffekt, Stromwirkung, erwünschte Art, unerwünschte Art"
1.1.39,"Stromstärke, Strom, Ampere, I, Stromkreis, elektrischer Stromkreis, Richtung, Stromrichtung, Plus, Minus"
1.1.40,"Einheit Stromstärke, Einheit Strom, Strom, elektrischer Strom, Ampere, A, I, Ladung pro Sekunde"
1.1.41,"Stromkreis, Strom, Kennzeichnung Strom, Pfeil, Plus, Minus"
1.1.42,"Amperemeter, Strommessung, Strommessgerät, Strom, Stromstärke, messen, Messgerät"
1.1.43,"Stromstärke, Strom, Amperemeter, Strommessung, Strommessgerät, Messgerät, Ladungserhaltung"
1.1.44,"Elektronen, Richtung, elektrische Feldlinie, elektrisches Feld, Potential"
1.1.45,"Stromarten, AC, DC, Wechselstrom, Gleichstrom, Alternate Current, Direct Current, Sinus-Funktion, konstante Stromstärke"
1.1.46,"Gleichstrom, DC, Direct Current, konstante Stromstärke, gleichmäßiger Strom, Strom, Batterie, Akku"
1.1.47,"Beispiel Gleichstromerzeuger, Solarzellen, Batterie, Akkumulator, Blitz, Gleichstrom, DC"
1.1.48,"Mischstrom, Strom, Gleichstromanteil, Wechselstromanteil, Gleichrichtung Wechselstrom"
1.1.49,"Stromarten, Verbraucher, Gleichstrom, Wechselstrom, DC, AC"
1.1.50,"Stromdichte, elektrische Stromdichte, elektrische Ladungsträger, Ladungsträger, elektrisches Feld, elektrische Leitfähigkeit"
1.1.51,"Stromdichte, Ampere, Fläche,"
1.1.52,"Temperatur, Stromdichte, Strom, Stromdichte erhöht, Schmelzstromdichte"
1.1.53,"Strom, Stromdichte, Schmelzsicherung, Erwärmung, Zuleitung, Leitungsschutz"
1.1.54,"Strom, Stromdichte, höchstzulässige Stromdichte, Material, stromdurchflossener Werkstoff, Wärmeaustausch, Querschnittsfläche^"
1.1.55,"elektrische Ladung, Ladung, Strom, elektrischer Strom, Physik, elektromagnetische Wechselwirkung, positive, negative, Q, Ladungsmenge, Coulomb, Ladungsänderung"
1.1.56,"Einheit, Spannung, Volt, elektrischen Spannung, U, Energiemenge, Joule pro Coulomb"
1.1.57,"Spannung, Spannungswerte, Autobatterie, Wechselstromnetz, Netzspannung, Verbundnetz"
1.1.58,"elektrisches Potential, Potential, Definition, elektrisches Feld, elektrische Ladung, Bezugspunkt, Potentialpunkt"
1.1.59,"Spannung, Volt, Voltmeter, Spannungsmessgerät, Stromkreis, elektrische Spannung, parallel"
1.1.60,"Definition, Ampere, Stromstärke, Strom, Kraft"
1.1.61,"Generator, Spannung, Volt, elektrische Spannung, elektromagnetische Induktion, Induktionsgesetz, Induktion, Leiterschleife, Magnetfeld, magnetischer Fluss, Strom, elektrischer Strom, Spannung erzeugen"
1.1.62,"Auswirkung, Strom, elektrischer Strom, Stromrichtungsänderung, elektrochemisch, elektromagnetisch, Magnetfeld, Elektrolyse"
1.1.63,"elektrischer Leitwert, Leitwert, G, Siemens, S, elektrische Leitfähigkeit, materialabhängige Konstante, Definition"
1.1.64,"elektrischer Leitwert, Leitwert, G, Siemens, S, elektrische Leitfähigkeit, materialabhängige Konstante, Berechnung"
1.1.65,"elektrischer Leitwert, Leitwert, G, Siemens, S, elektrische Leitfähigkeit, Material, hoch, niedrig, Kupfer, Aluminium, Strom, effizient"
1.1.66,"Stromstärke, Paramter, Strom, URI, elektrische Stromstärke, ohmsches Gesetz, Spannung, Widerstand"
1.1.67,"Widerstand, R, Definition, Ohm"
1.1.68,"Temperaturabhängigkeit, Widerstand, Ohm, R, Widerstandswert, erwärmter Widerstand, Erwärmung, Temperaturänderung, Temperaturkoeffizienten"
1.1.69,"Heißleiter, Thermistoren, Temperaturkoeffizienten, negativer Temperaturkoeffizienten, NTC, Widerstand, Dotierung, Metalloxiden, Widerstandkurve, Temperaturfühler"
1.1.70,"NTC, PTC, Unterschied, negativer, positiver, Temperaturbeiwert, unterschiedliche Verhalten, Heißleiter, Kaltleiter, Widerstandswert, Widerstand, Temperatur"
1.1.71,"Temperaturabhängigkeit, Widerstand, geringe Temperaturabhängigkeit, Material, Legierung, Kupfer, Nickel, Man"
1.1.72,"Widerstand, Widerstandswerkstoff, Anforderung, Drahtwiderstand, hoher spezifischer Widerstand, temperaturunabhängig, Temperaturbeiwert"
1.1.73,"Widerstand, Widerstandswert, Farbcode, Widerstandfarbcode"
1.1.74,"Widerstand, Widerstandswert, Farbcode, Widerstandfarbcode, Farbringe, Multiplikator, Toleranz"
1.1.75,"Widerstand, Widerstandswert, Farbcode, Widerstandfarbcode, Farbringe, Multiplikator, Toleranz"
1.1.76,"Nennleistung, Bemessungsleistung, Verbraucher, Leistung, abgegebene Leistung"
1.1.77,"Stromzähler, Energie, Energiezähler, elektrische Arbeit, Arbeit"
1.1.78,"Definition, Energie, elektrische Energie, Arbeit, Energieform, Energieerhaltungssatz, umgewandelt"
1.1.79,"Energie, Energiearten, Arten,"
1.1.80,"Definition, Wirkungsgrad, Nutzleistung, zugeführter Leistung, Effizienz"
1.1.81,"Definition, Leistungshyperbel, charakteristische Kennlinie, Kennlinie, Leistung"
1.1.82,"Definition, Supraleiter, Widerstand, niederohmig, Ohm, Besonderheit Supraleiter, große Ströme, effizient"
1.1.83,"Heißleiter, Typen, unterteilt, eigenerwärmte, fremderwärmte"
1.1.84,"fremderwärmte Heißleiter, Heißleiter, fremderwärmt, Temperaturmessung, Einsatz, Verwendung, NTC"
1.1.85,"Verhalten, Kaltleiter, PTC, Positive Temperature Coefficient, Widerstand, Temperaturkoeffizienten, positiv, elektrischer Widerstand"
1.1.86,"Anwendung, Kaltleiter, Überwachung, Messfühler"
1.1.87,"Varistor, spannungsabhängiger Widerstand, Widerstand, R, Ohm, Spannung, Speerschicht"
1.1.88,"Spannungsmessgerät, Messbereichserweiterung, Spannung, elektrische Spannung, Messgerät, Voltmeter, Vorschaltung, serieller Vorschaltung"
1.1.89,"Kenngrößen, Spannung, Volt, elektrische Spannung, Messgerät, Voltmeter, Spannungsmessgerät, Instrumentenwiderstands, Innenwiderstand, Spannungsbereiche"
1.1.90,"Definition, Spannungsabfall, Spannung, Volt, elektrische Spannung, Leitungswiderstand"
1.1.91,"Spannungsabfall, Verlust, Leitung, Leitungswiderstand, hochohmige Leitung, Verbraucherspannung, Leistungseinbruch"
1.1.92,"Spannungsabfall, Verlust, Spannung, Volt, Leitungswiderstand, Leiterquerschnitts, Leiterlänge, Stromstärke, Belastung, Verbraucherleistung"
1.1.93,"Freileitung, Energieübertragung, Übertragung, Energie Übertragung, hohe Spannung, Stromfluss, große Entfernung, Entfernung"
1.1.94,"Strom, Parallelschaltung, Stromteiler, elektrischer Strom, geringster Widerstand,"
1.1.95,"Verbraucher, Parallelschaltung von Verbraucher, Unterbrechungsfrei, Verschaltung, dieselbe Spannung,"
1.1.96,"Widersand, E12, E12-Reihe, Widerstandsbestimmung, Widerstandswert,"
1.1.97,"Betriebskosten, Motor, Elektromotor, Energieaufwand, verbrauchte Energie, Berechnung"
1.1.98,"temperaturabhängiger Widerstand, Widerstand, Widerstandszunahme, Temperaturerhöhung, Berechnung"
1.1.99,"Formel, mechanische Arbeit, Arbeit, Kraft"
1.1.100,"Leistung, Formel, Berechnung, Arbeit, Zeit, P"
1.1.101,"Stromkreis, Elemente, Erreger, Umwandlung Energie, Verbraucher, Übertragungseinrichtungen, Übertragung, Übertragungsmedium"
1.1.102,"Definition, Stromkreis, elektrischer Stromkreis, geschlossener Weg, Erzeuger, Verbraucher, Übertragungseinheit, genormte Symbole, Symbole"
1.1.103,"Atommodel, Bohrsches Atommodel, Niels Bohr, Atome, Kernzentrum, Elektronen, Model"
1.1.104,"Elementarladung, Proton, Elektron, kleinste Ladungseinheit, entgegengesetztem Vorzeichen"
1.1.105,"Bindungsarten, chemische Bindungsarten, ionische Bindung, kovalente Bindung, metallische Bindung, Elektronen, Elektronenpaare, Atom, elektrostatische Kräfte, Valenzelektronen"
1.1.106,"Definition, Strom, elektrischer Strom, Ladungsträger, Bewegung von Ladungsträger"
1.1.107,"Spannung, elektrische Spannung, Volt, U, erzeugt, Ladungsträger, stromtreibende Kraft, Erzeugung, Trennung von Ladung"
1.1.108,"DC; AC; Gleichspannung, Wechselspannung, Spannung, Volt, U, Spannungsarten, Arten"
1.1.109,"Widerstand, Bauteil, Verwendung, Strombegrenzung, Spannungsabfall"
1.1.110,"Stromkreis, elektrischer Stromkreis, Elektrizität, Leiter, Spannungsquelle, Stromquelle, Generator, Akku, Verbraucher"
1.1.111,"Potentiometer, elektrischer Widerstand, Widerstandselement, verstellbarer Widerstand, Schleifer, Widerstandswert, Anschlüsse, Mechanik, Definition, Poti, Widerstand"
1.1.112,"Potentiometer, Aufbau, Anschlüsse, Spannungsteiler, variabler Widerstand, Schleifer, Widerstand, Bauteile, Kontakte, Schleifkontakt"
1.1.113,"Potentiometer, Ausführungsarten, Drehregler, Trimmpotentiometer, Schiebepotentiometer, Lautstärkeregler, Mischpult, Tonstudio, Widerstand"
1.1.114,"Drahtpotentiometer, Keramikkörper, Widerstandsdraht, Schleifer, variabler Widerstand, Aufbau, Bauteile, Widerstand, R"
1.1.115,"Wendelpotentiometer, Aufbau, Widerstandsdraht, Schleifer, präzise Einstellung, mehrere Umdrehungen, Bauteile, Widerstand"
1.1.116,"Trimmpotentiometer, Drahtpotentiometer, Schraubendreher, Abgleich, Schaltung, Vorwiderstand, präzise Einstellung, Bauteile, Widerstand, Trimmer"
1.1.117,"Potentiometer, Regelungstechnik, Ist-Wert-Geber, Momentanwerte, Winkelmessung, Wegmessung, Antriebe, präzise Messung"
1.1.118,"Widerstand, Farbringe, Farbring-Code, Widerstandswerte, Toleranz, Elektronik, Bauteile"
1.1.119,"Widerstand, Farbringe, Farbring-Code, Widerstandswerte, Toleranz, Elektronik, Bauteile"
1.1.120,"Widerstand, Farbringe, Farbring-Code, Widerstandswerte, Toleranz, Elektronik, Bauteile"
1.1.121,"Widerstand, Farbringe, Farbring-Code, Widerstandswerte, Toleranz, Elektronik, Bauteile"
1.1.122,"Widerstände, Bauarten, Festwiderstände, Drahtwiderstand, veränderbare Widerstände, Potentiometer, NTC, PTC, physikalische Größen, Ohm"
1.1.123,"Stromdichte, Leiterquerschnitt, Strom, physikalische Gesetze, J"
1.1.124,"Basisgrößen, Einheiten, Maßeinheiten, Physik, Strecke, Zeit, Masse, Stromstärke, Lichtintensität, Temperatur, Stoffmenge, SI, SI-Einheiten, SI-Größen"
1.1.125,"Ohmsches Gesetz, Strom, Spannung, Widerstand, Einheiten, A, Ampere, V, Volt, Ohm,URI"
1.1.126,"Vorsilben, Zehnerpotenzen, Kilo, Mega, Giga, Tera, Milli, Mikro, Nano, Pico, Präfix"
1.1.127,"Vorsilben, Zehnerpotenzen"
1.1.128,"Widerstand, Ohm, Präfix, Mega, Zehnerpotenzen, Berechnung, Widerstandswerte, Vorsilben"
1.1.129,"Ampere, Stromstärke, Präfix, Zehnerpotenzen, Berechnung, Umrechnung, Elektrizität"
1.1.130,"Spannung, Volt, Präfix, Zehnerpotenzen, Berechnung, Umrechnung, Elektrizität"
1.1.131,"Widerstand, Vorsilben, Kiloohm, Megaohm, Mikro Ohm, Zehnerpotenzen, Präfix, Umrechnung, Berechnung"
1.1.132,"Stromstärke, LED, Lebensgefahr, Fernseher, Blitz, Elektrizität, Sicherheit, Strombereich"
1.1.133,"Spannungserzeugung, Induktion, Generator, chemische Wirkung, galvanische Zelle, Wärme, Thermoelement, Licht, Solarzelle, Druck, Polarisation, Reibung, elektrostatische Aufladung"
1.1.134,"spezifischer Widerstand, Kupfer, Aluminium, Materialien, Widerstandswerte, Widerstand"
1.1.135,"spezifischer Widerstand, Materialeigenschaften, Leitfähigkeit, Isolierung, Stromleitung, Widerstandswert, Spannungsabfall"
1.1.136,"Supraleitung, Magnetfelder, MRT, Medizintechnik, Supraleiter, Anwendungen, starke Magnetfelder, niederohmig, Widerstand, Verlustfrei"
1.1.137,"SI-Präfixe, Zehnerpotenzen, Einheiten, Maßeinheiten, Wissenschaft, Mathematik, SI-Einheit, SI, Präfix"
1.1.138,"Supraleiter, Kühlung, flüssiges Helium, flüssiger Stickstoff, Temperaturen, Widerstand"
1.1.139,"Supraleiter, Sprungtemperatur, Widerstandsverlust, Übergangstemperatur, Materialien, Widerstand, Temperatur"
1.1.140,"Leitwert, Siemens, Einheit, Widerstand, elektrischer Leitwert"
1.1.141,"Leitwert, Widerstand, Kehrwert, Berechnung, Proportionalität, Leitfähigkeit"
1.1.142,"Parallelschaltung, Gesamtwiderstand, Teilwiderstand, Schaltungsarten, Widerstand, Berechnung"
1.1.143,"Superkondensatoren, elektrochemische Kondensatoren, Kapazität, Energie speichern, Kondensatoren, Farad"
1.1.144,"Superkondensatoren, Akkumulatoren, Energiedichte, Leistungsdichte, Energie speichern, Vergleich, Kapazität, schnelle Energieabgabe, Nachteil"
1.1.145,"elektrischer Strom, Vakuum, Ladungsträger, Glüh-Emission, Fotoemission, elektrisches Feld, elektrische Spannung"
1.1.146,"Kondensator, Anwendungsbereiche, Energiespeicher, Ladungsspeicher, Filteranwendungen, Informationsspeicherung"
1.1.147,"Maxwell-Gleichungen, Elektromagnetismus, Induktionsgesetz, magnetischer Fluss, Ampere-Maxwell-Satz, elektrischer Fluss, Elektrotechnik, Differentialgleichungen, Induktion, Magnetisches Feld"
1.1.148,"Nabla-Operator, kartesisches Koordinatensystem, Zylinderkoordinatensystem, Kugelkoordinatensystem, Vektoranalysis, Divergenz, Gradient, Rotation"
1.1.149,"Nabla-Operator, Skalarfeld, Vektorfeld, Gradient, Divergenz, Rotation, elektromagnetische Felder, elektrische Feldstärke, magnetische Flussdichte, Vektoranalysis, Elektrodynamik"
1.1.150,"Poynting-Satz, Maxwell-Gleichungen, Elektrodynamik, Energiefluss, Poynting-Vektor, Faradaysches Gesetz, Ampere-Maxwell-Satz, Vektoridentität, Satz von Gauß, Energieerhaltung, Elektromagnetische Felder"
1.1.151,"Poynting-Vektor, elektromagnetische Energieflussdichte, elektrisches Feld, magnetisches Feld, Kreuzprodukt, Elektrodynamik, Energiefluss, Elektromagnetische Felder"
1.1.152,"Reihenschaltung, Kondensatoren, Spannungsfestigkeit, Spannungsteilung, Nennspannung, Schaltungstechnik, Sicherheit in Schaltungen"
1.1.153,"ideale Spannungsquelle, Widerstand, Stromstärke, Schaltungstechnik, Verbraucher, Last, Spannung, gleichbleibende Spannung, Last unabhängig"
1.1.154,"Kapazitätsangabe, C10, Entladestrom, Akkumulator, Batterietechnologie, Akkukapazität"
1.1.155,"Entladeschluss-Spannung, Akku, Entladevorgang, Tiefentladung, Akkusicherheit, Batterietechnologie"
1.1.156,"Entlade-Anfangsspannung, Akku, Entladevorgang, Akkuzustand, Batterieleistung, Energiebewertung, Spannung"
1.1.157,"Ladeschluss-Spannung, Akkuladen, Ladegerät, Konstantstrom, Konstantspannung, Akku, Batterietechnologie"
1.1.158,"Ladeverfahren, Konstantstromladen, Pulsladen, Konstantspannungladen, IU-Ladeverfahren, Rückstromladen, Akkumulator, Batterietechnologie, Akku, aufladen"
1.1.159,"Normal-Ladung, Akkuladen, Ladestrom, Nennkapazität, Akkumulator, Batterietechnologie"
1.1.160,"IU-Ladeverfahren, Konstantstrom, Konstantspannung, Akkuladen, Ladeschlussspannung, Akkumulator, Batterietechnologie, Akku"
1.1.161,"Normal-Ladung, Stromverlauf, Spannungsverlauf, Akkuladen, Ladeschlussspannung, Ladestrom, Akkumulator, Batterietechnologie, Akku"
1.1.162,"Pufferakkumulatoren, USV, Unterbrechungsfreie Stromversorgung, Datensicherung, Akkumulatoren, Versorgungsspannung, Stromausfall, Notsstrom, Puffer, Energiespeicher"
1.1.163,"Halbleiter, Transistoren, Dioden, Mikroelektronik, Dotierung, Elektrotechnik, Elektronik, Computer, Smartphones, Autos, Technologie, Chips"
1.1.164,"Dielektrika, Kondensatoren, Kapazität, Spannung, Dielektrikum, Energie speichern, Kondensatorplatten, Isolierung, Spannungsfestigkeit"
1.2.1,"Elektrochemische Spannungsreihe, Standardpotential, Batterie, Akkumulator, Akku, Elektrolyse, Spannung, Elektronenaffinität, Redox-Reaktionen"
1.2.2,"Leiter, Isolator, Halbleiter, Valenzelektronen, Temperatur, Leitfähigkeit, n-Dotierung, p-Dotierung, elektrische Leitfähigkeit, Widerstand, Stromfluss"
1.2.3,"Elektrizitätslehre, Physik, elektrische Ladung, elektrische Felder, magnetische Felder, zeitlich veränderliche Felder, Model, Phänomene"
1.2.4,"Arten von Leitern, Leiter, Nichtleiter, Halbleiter, Beispiele für Leiter, Silber, Kupfer, Luft, Kohlenstoff, Germanium, Silizium, Arten"
1.2.5,"Leitfähigkeit von Metallen, Temperatur, Gitterstruktur, Elektronenfluss, elektrischer Widerstand, steigende Temperatur, Leitfähigkeitsabnahme, Leitfähigkeit, Leiter"
1.2.6,"Leitfähigkeit von Halbleitern, steigende Temperatur, Leitfähigkeitszunahme, Temperaturabhängigkeit, Halbleiter, Leitfähigkeit"
1.2.7,"leitende Flüssigkeiten, Elektrolyte, Ionen, elektrischer Stromfluss, Leitfähigkeit von Elektrolyten, Leiter 2. Klasse, Leitfähigkeit"
1.2.8,"Dissoziation, Chemie, chemische Verbindung, Molekülaufteilung, chemische Bindung"
1.2.9,"Dissoziation, polares Molekül, Ionen, positives Ion, negatives Ion, Ionisierung, Chemie"
1.2.10,"Faradaysches Gesetz, Formel, Masse des Stoffes, molare Masse, Zeit, Faraday-Konstante, Elektronen, Elektrochemie"
1.2.11,"technische Anwendungen, chemische Wirkung des elektrischen Stroms, Elektrolyse, Galvanisierung, Batterie, Akku, Eloxieren, Brennstoffzelle, Elektrochemie"
1.2.12,"Stoffgruppen, elektrische Stoffgruppen, Leiter, Nichtleiter, Halbleiter, Eisen, Gold, Sauerstoff, Wasser, Stickstoff, Silizium, Germanium"
1.2.13,"häufig verwendete Leiter, Kupfer, Silber, Aluminium, elektrische Leiter, Leiter"
1.2.14,"Isolatoren, Keramik, Glas, Silikon, elektrische Isolatoren, Nichtleiter"
1.2.15,"Wirkungen des elektrischen Stroms, Wärmewirkung, Chemische Wirkung, Lichtwirkung, Magnetische Wirkung, Wasserkocher, Elektroheizung, Elektrolyse, Batterie, LED, Blitz, Relais, Sicherungsautomaten"
1.2.16,"Elektrolyt, Ionenleiter, elektrische Leiter 2. Klasse, Kochsalz, NaCl, Dissoziation, Ionenkristall, Ionen, Wasserlöslichkeit, Elektrochemie"
1.2.17,"Ionen, Kationen, Anionen, Elektron, positive Ladung, negative Ladung, Atom, Ladungsverschiebung, Elektrochemie"
1.2.18,"chemisch reines Wasser, Isolator, Leitfähigkeit, Dissoziation, Autoprotolyse, Ionenprodukt, Ladungsträger, geringe Leitfähigkeit, Elektrochemie"
1.2.19,"Elektrolyse von Wasser, Explosionsgefahr, Wasserstoff, Sauerstoff, Knallgas, Mischgas, Zündung, Atmosphärendruck, Elektrochemie, Elektrolyse"
1.2.20,"Verwendungszwecke der Elektrolyse, Stoffgewinnung, Elektrolyse von Wasserstoff, Elektrolyse von Aluminium, Galvanik, metallische Überzüge, Verzinkung, Leiterplattenherstellung, Akkumulatoren, Ladevorgang, Redoxreaktion, Elektrolyseverfahren, Elektrolyse"
1.2.21,"Elektrode, elektrischer Leiter, Medium, Elektrolyt, Ladungsaustausch, Anode, Katode, Oxidation, Reduktion, Elektrochemie"
1.2.22,"Korrosion, Metalle, Redoxreaktion, Oxidation, Eisen, Sauerstoff, Rost, Feuchtigkeit, Wasser, Salze, Oxidiertes Eisen, chemische Reaktion"
1.2.23,"Definition, chemische Korrosion, Werkstoff, Redoxreaktion, Sauerstoff, Wasserstoff, Fluorverbindungen, Korrosionsreaktion, Materialveränderung, chemische Reaktion, Korrosion"
1.2.24,"Korrosionsbeständigkeit, glatte Oberflächen, raue Oberflächen, Oberflächenbeschaffenheit, Korrosionsrate, Oxidationsmittel, Reaktionsfläche, Korrosionsförderung, Korrosion"
1.2.25,"elektrochemische Korrosion, Wertigkeit, elektrochemische Spannungsreihe, Korrosionsprozess, pH-Wert, Elektrolyt, Reaktionsförderung, Korrosionsfaktoren, Korrosion, Faktoren"
1.2.26,"Gleichstromanlagen, Wechselstromanlagen, Korrosionsgefahr, Kathode, Stromrichtung, Korrosionsprozess, Elektrochemie, Stromflussrichtung, Korrosion"
1.2.27,"Korrosionsschutz, Metallbeschichtung, Zinkbeschichtung, Lacküberzüge, Kunststoffüberzüge, Anodengitter, Einfetten, Einölen, Korrosionsschutzmethoden"
1.2.28,"elektrochemische Elemente, Primärelement, Sekundärelement, Tertiärelement, Entladung, Wiederaufladbarkeit, Energiedichte, Brennstoffzellen, chemischer Energieträger"
1.2.29,"galvanisches Element, Elektroden, Elektrolyt, chemische Energie, elektrische Energie, Gleichspannungsquelle, elektrochemische Zelle, Energieumwandlung"
1.2.30,"Polarisation, galvanisches Element, Isolierende Barriere, Elektrode, Elektrolyt, Polarisationsspannung, Gasbläschen, elektrochemische Reaktion"
1.2.31,"galvanische Zelle, Aufbau, Elektroden, Elektrolyt, Anode, Kathode, Oxidation, Reduktion, Elektronenleiter, elektrochemische Reaktion"
1.2.32,"elektrische Spannung, galvanisches Element, Materialwahl, Elektroden, elektrochemische Spannungsreihe, Elektrolytlösung, Spannungshöhe, elektrochemische Zelle"
1.2.33,"alkalische Zink-Manganoxid-Zelle, Energiedichte, Selbstentladung, Lagerfähigkeit, Materialwahl, Zink-Silberoxid-Zelle, kostengünstig, Batteriearten, Zelle"
1.2.34,"Regeneration, alkalische Zellen, Lebensdauer, Spannung anlegen, Entladung, Zellenalterung, Batteriepflege"
1.2.35,"Zink-Silberoxid-Zelle, Aufbau, Elektroden, Elektrolytlösung, Kathode, Anode, Zink, Silberoxid, Oxidation, Reduktion, Entladeprozess, Zelle"
1.2.36,"Zink-Silberoxid-Zellen, Vorteile, hohe Energiedichte, Wiederaufladbarkeit, lange Lebensdauer, konstante Arbeitsspannung, Entladezeit, Batterieleistung"
1.2.37,"Zink-Silberoxid-Zellen, Anwendungen, geringe Masse, hohe Energiedichte, hohe Entladungsströme, Waffentechnik, Raumfahrt, Flugzeugtechnik, Messtechnik, spezialisierte Anwendungen, Kostenfaktor"
1.2.38,"Zink-Luft-Zellen, Entladeprozess, Sauerstoff, Reduktion, Hydroxid, Umgebungsluft, Funktionsweise, luftdichte Geräte, wasserdichte Geräte, Betrieb, Zelle"
1.2.39,"Zink-Luft-Zellen, Anwendungsbereiche, Knopfzellen, hohe Energiedichte, geringe Leistung, Hörgeräte, medizinische Geräte, Lampen, Uhren, Verwendung, Zelle"
1.2.40,"Knopfzellen, Vorteile, geringes Volumen, geringe Masse, lange Verwendungsdauer, Batterien, Energiequelle, Zelle"
1.2.41,"Lithium-Zelle, Aufbau, Anode, Kathode, Mangandioxid, Graphitfluorid, Elektrolyt, Propylencarbonat, Reaktivität, nicht wässrige Lösung"
1.2.42,"Entsorgung von Primärelementen, toxische Stoffe, biologische Ökosysteme, nachhaltige Entsorgung, Recycling, Rohstoffe, Sammelstelle, Batterieentsorgung, Restmüll, Entsorgungsrichtlinien, Entsorgung"
